طابع زمني,العمر ,الجنس,المؤهل العلمي,العمل,مكان السكن,المحافظة,الكلية :,ما هو مستوى قبولك للسيارات ذاتية القيادة؟,هل سبق لك ركبت سيارة من غير سائق؟,هل تمتلك رخصة قيادة سيارة؟,هل تمتلك سيارة؟,البنية التحتية هي العقبة الرئيسية لقبول السيارات ذاتية القيادة.,الفجوة في قدرة الناس على إصلاح السيارات الكهربائية هي مشكلة رئيسية.,إحدى المشاكل التي تواجه السيارة بدون سائق هي عدم ثقة الناس بالذكاء الاصطناعي.,تشعر بالخوف اتجاه السلامة في السيارات ذاتية القيادة ,تشعر بالخوف اتجاه تكاليف الصيانة في السيارات ذاتية القيادة ,تشعر بالخوف اتجاه القرصنة و التهكير في السيارات ذاتية القيادة, السيارات ذاتية القيادة سوف تسرق بعض الوظائف,اثق في التكنولوجيا,لدي معرفة سابقة عن السيارات ذاتية القيادة,أفكر في شراء سيارة بدون سائق في المستقبل,أشعر بالقلق بشأن التداعيات المتعلقة بالخصوصية للسيارات بدون سائق,تكلفة شراء سيارات ذاتية القيادة عالية جدا,تكلفة القطع الخاصة في السيارات ذاتية القيادة غالية جدا,تكلفة تصليح السيارات ذاتية القيادة كبيرة جدا,كل السيارات ذاتية القيادة هي سيارات كهربائية فقط,السيارات ذاتية القيادة أمن من سيارات العادية,السيارات بدون سائق ستقلل من حوادث المرور,السيارات بدون سائق ستساعد في تقليل التلوث,عدم توافر القطع,عدم توفر الاشخاص القادرة على صيانة,تشكل عدم التزام الناس بقوانين القيادة عقبة في وجه قبول سيارات ذاتية القيادة
4:17:35 م 2024/08/13,21,أنثى,بكالوريوس,لا أعمل,قرية,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,5,3,5,4,3,5,4,4,1,1,3,4,4,4,3,1,2,1,4,4,4
4:24:22 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,مدينة,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,4,4,4,4,4,4,1,5,4,1,3,4,4,4,5,5,5,5,5,5,5
4:29:48 م 2024/08/13,20,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,لا,نعم,نعم,3,4,5,5,4,5,5,4,2,1,4,4,4,4,4,1,1,3,4,4,4
4:41:40 م 2024/08/13,21,أنثى,بكالوريوس,لا أعمل,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,5,3,4,4,4,2,3,3,3,1,1,5,5,5,5,3,4,2,5,5,5
4:48:19 م 2024/08/13,20,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,لا,نعم,لا,4,1,3,3,3,5,3,1,3,2,4,3,3,3,5,1,3,4,1,1,5
4:53:43 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,نعم,2,5,4,5,5,5,3,5,1,1,1,4,3,4,4,4,1,1,4,3,2
5:09:06 م 2024/08/13,22,ذكر,دراسات  العالية,أعمل في مجالات أخرى,مدينة,نابلس,كلية القانون,4,لا,نعم,نعم,3,2,2,2,4,3,2,4,4,5,2,4,3,3,3,3,4,4,3,2,2
5:16:29 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,نعم,5,3,3,5,3,2,4,3,1,1,2,4,5,5,5,3,1,3,3,3,5
5:22:02 م 2024/08/13,20,أنثى,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5:25:30 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,5,3,2,1,3,3,5,5,5,3,3,5,5,5,3,5,5,5,5,5,5
5:26:20 م 2024/08/13,24,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,4,لا,لا,لا,3,2,4,1,4,4,4,4,2,4,3,5,5,5,5,2,4,5,5,5,5
5:26:54 م 2024/08/13,22,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,لا,نعم,نعم,5,4,5,4,5,5,4,4,4,5,4,5,5,5,3,4,4,1,4,4,5
5:26:57 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,4,لا,لا,لا,5,4,4,3,4,4,3,3,4,2,4,4,4,4,2,2,3,4,4,4,4
5:28:11 م 2024/08/13,40,أنثى,دراسات  العالية,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الدراسات العليا,4,لا,نعم,نعم,4,4,4,2,5,5,4,4,2,2,4,5,5,5,2,3,3,4,4,4,4
5:31:07 م 2024/08/13,24,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,4,لا,نعم,لا,4,4,3,2,4,3,3,5,2,2,2,5,4,4,1,3,4,5,4,4,3
5:31:36 م 2024/08/13,22,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,نعم,3,3,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4
5:31:49 م 2024/08/13,30,ذكر,دراسات  العالية,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الدراسات العليا,3,لا,نعم,نعم,5,2,4,3,4,4,5,2,5,1,4,2,2,3,2,2,5,3,5,5,5
5:31:52 م 2024/08/13,25,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,2,لا,لا,لا,5,2,4,4,4,5,5,4,2,1,5,4,5,5,3,1,1,5,4,3,5
5:32:14 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,1,لا,لا,لا,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5:33:32 م 2024/08/13,23,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,4,لا,نعم,لا,5,5,4,4,4,3,3,4,4,2,4,5,5,4,4,5,3,3,4,4,4
5:33:51 م 2024/08/13,24,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,3,3,5,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,4,3,3
5:34:05 م 2024/08/13,20,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,لا,نعم,نعم,2,3,5,4,3,3,2,4,5,1,2,1,3,3,1,1,2,1,4,5,3
5:36:05 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,4,2,4,3,4,4,2,3,3,2,3,5,5,5,5,2,2,2,4,2,4
5:39:56 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,5,3,4,4,2,4,4,3,3,4,3,3,4,3,4,2,2,4,3,3,5
5:40:00 م 2024/08/13,36,ذكر,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية الاقتصاد,4,لا,نعم,نعم,5,3,1,1,3,3,5,5,4,4,1,5,5,3,5,5,5,5,4,4,4
5:40:58 م 2024/08/13,24,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,4,لا,نعم,لا,4,4,5,4,4,3,2,3,3,1,3,5,5,5,2,2,3,5,3,4,4
5:42:08 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,4,2,4,4,4,4,4,3,2,2,2,4,4,4,2,2,3,4,4,4,4
5:45:05 م 2024/08/13,20,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الفنون الجميلة,3,لا,لا,لا,2,2,2,3,3,3,4,3,4,1,3,5,3,3,3,3,2,3,3,3,4
5:46:14 م 2024/08/13,22,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,5,4,3,5,5,5,5,3,2,1,3,5,5,5,3,3,3,5,5,5,5
5:48:52 م 2024/08/13,24,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,لا,نعم,لا,5,5,5,5,4,5,5,4,1,1,5,3,3,3,3,1,1,1,3,3,4
5:50:58 م 2024/08/13,20,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,لا,لا,لا,4,3,5,5,2,3,1,2,3,1,3,4,3,3,2,1,1,1,3,3,5
5:52:51 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,ضاحية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,1,لا,لا,لا,5,3,5,5,3,3,4,3,2,1,3,3,3,3,3,2,2,4,4,4,5
5:57:28 م 2024/08/13,24,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,4,لا,لا,لا,4,3,3,3,3,4,4,4,5,3,3,5,5,5,5,2,3,2,3,4,3
5:59:35 م 2024/08/13,25,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,4,4,5,5,5,5,5,2,1,3,3,5,5,5,3,3,3,3,3,4,5
6:00:07 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,نعم,5,3,4,3,2,1,2,3,2,1,2,3,3,3,3,2,2,4,2,2,2
6:01:18 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,5,3,4,3,4,4,4,4,3,3,4,4,4,4,3,4,4,3,5,4,4
6:04:05 م 2024/08/13,22,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,5,5,2,3,5,5,5,4,1,1,3,3,3,3,3,3,3,5,3,5,4
6:06:33 م 2024/08/13,46,ذكر,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية الاقتصاد,4,لا,نعم,نعم,4,5,3,2,4,2,3,5,2,2,3,5,5,5,4,2,5,5,5,4,5
6:09:12 م 2024/08/13,29,أنثى,دبلوم,لا أعمل,مدينة,نابلس,كلية الاقتصاد,3,نعم,لا,لا,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3
6:10:48 م 2024/08/13,40,أنثى,بكالوريوس,أعمل في مجالات أخرى,قرية,نابلس,كلية العلوم الإنسانية والتربوية,1,لا,لا,لا,5,5,4,4,5,5,3,2,2,1,3,5,5,5,5,2,4,5,5,5,5
6:14:46 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,4,5,3,3,4,2,4,3,1,1,3,5,4,3,3,1,3,1,4,5,3
6:14:59 م 2024/08/13,24,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,2,لا,نعم,نعم,4,5,5,5,5,5,5,3,3,1,4,5,5,5,3,2,1,1,5,5,5
6:20:25 م 2024/08/13,20,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,2,نعم,نعم,نعم,5,5,2,3,4,4,3,1,3,1,5,3,4,4,2,3,2,3,4,4,4
6:29:44 م 2024/08/13,24,أنثى,بكالوريوس,لا أعمل,قرية,نابلس,كلية الاقتصاد,3,لا,لا,لا,5,3,3,3,4,3,5,2,1,1,3,5,5,5,3,3,3,3,3,3,3
6:35:31 م 2024/08/13,21,ذكر,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية الطب وعلوم الصحة,3,لا,لا,لا,3,4,5,5,5,4,4,3,3,1,5,5,5,5,3,3,3,4,4,4,4
6:36:58 م 2024/08/13,18,أنثى,الثانوية,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,5,3,4,4,3,1,5,4,2,2,4,4,4,4,2,2,4,4,3,4,4
6:40:24 م 2024/08/13,23,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,نعم,نعم,لا,4,3,4,2,5,5,1,2,4,4,3,5,5,5,3,3,2,3,5,5,5
6:44:09 م 2024/08/13,26,أنثى,دبلوم,أعمل في مجالات أخرى,مدينة,نابلس,كلية العلوم الإنسانية والتربوية,5,لا,نعم,نعم,3,1,3,2,3,1,3,3,1,1,4,2,3,3,2,2,2,3,4,2,2
6:53:45 م 2024/08/13,21,أنثى,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,4,3,3,4,3,4,5,3,2,3,4,5,5,4,3,3,3,3,4,4,4
6:54:49 م 2024/08/13,20,ذكر,بكالوريوس,أعمل في مجالات أخرى,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,لا,نعم,نعم,5,2,3,4,4,5,4,4,2,1,4,5,5,5,5,2,5,2,2,1,5
6:58:20 م 2024/08/13,27,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,3,5,5,5,5,5,5,3,1,1,5,5,5,5,3,1,1,3,5,5,5
6:59:55 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,لا,نعم,نعم,3,2,4,3,4,4,5,3,3,1,3,5,5,5,4,3,4,4,4,3,3
7:08:59 م 2024/08/13,23,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,1,لا,لا,لا,5,5,5,5,5,5,1,4,2,1,4,4,4,3,2,1,1,1,4,4,4
7:18:13 م 2024/08/13,21,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,لا,لا,لا,5,5,5,3,5,5,5,5,5,3,5,5,5,5,3,3,3,5,5,5,5
7:25:21 م 2024/08/13,23,ذكر,بكالوريوس,أعمل في مجالات أخرى,مدينة,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,4,لا,نعم,لا,4,4,5,2,3,1,4,5,3,4,4,3,3,4,5,4,4,4,4,4,4
7:26:31 م 2024/08/13,18,أنثى,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الطب وعلوم الصحة,3,لا,لا,لا,4,2,5,4,3,5,4,3,2,3,3,5,5,5,3,2,2,3,5,5,4
7:32:59 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,نعم,4,2,5,4,2,5,3,2,4,1,3,5,5,5,3,3,3,5,5,5,1
7:36:22 م 2024/08/13,20,أنثى,بكالوريوس,لا أعمل,قرية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,2,لا,لا,لا,4,5,5,5,5,5,5,2,2,1,3,3,4,5,3,3,1,2,5,5,5
7:52:11 م 2024/08/13,23,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,لا,نعم,نعم,3,3,5,5,5,5,5,1,3,1,3,5,5,5,3,1,1,2,3,3,3
7:57:05 م 2024/08/13,26,أنثى,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية العلوم,4,لا,لا,لا,2,2,1,2,1,1,1,2,1,1,1,3,4,3,3,1,3,2,2,2,2
8:00:39 م 2024/08/13,27,أنثى,بكالوريوس,لا أعمل,مخيم,نابلس,كلية العلوم الإنسانية والتربوية,4,لا,نعم,لا,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3
8:05:59 م 2024/08/13,22,أنثى,الدراسات  العالية,أعمل في مجالات أخرى,مخيم,نابلس,كلية الدراسات العليا,5,لا,لا,لا,3,3,3,2,3,2,2,4,3,3,3,3,3,3,3,2,3,4,4,3,1
8:14:15 م 2024/08/13,23,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,4,3,5,4,3,4,4,2,4,1,4,4,3,3,3,2,2,3,4,4,2
8:18:10 م 2024/08/13,50,أنثى,الدراسات  العالية,أعمل في مجالات أخرى,مدينة,نابلس,كلية الدراسات العليا,1,لا,نعم,نعم,1,1,5,5,3,5,5,3,1,1,5,3,3,3,3,1,1,1,3,3,3
8:24:27 م 2024/08/13,25,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,4,لا,لا,لا,5,3,2,3,4,3,3,5,4,3,4,5,3,5,2,2,2,2,3,4,5
8:25:17 م 2024/08/13,21,أنثى,بكالوريوس,لا أعمل,قرية,جنين,,2,لا,لا,لا,5,2,4,4,3,4,4,3,2,1,4,3,3,3,2,3,4,3,4,4,4
8:28:37 م 2024/08/13,29,أنثى,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية العلوم الإنسانية والتربوية,3,لا,لا,لا,4,4,3,3,4,3,3,2,2,1,3,5,5,5,3,2,1,1,4,4,5
8:37:05 م 2024/08/13,21,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,نعم,5,5,5,3,2,4,5,3,5,1,4,5,5,5,1,1,1,1,5,5,5
9:40:42 م 2024/08/13,20,أنثى,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الاقتصاد,4,لا,لا,لا,4,2,3,2,3,3,5,3,3,5,1,5,4,4,4,3,4,5,3,2,4
9:49:15 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,2,2,3,3,3,4,4,3,2,2,2,5,5,5,4,2,3,2,5,2,2
9:56:04 م 2024/08/13,20,ذكر,الثانوية,أعمل في مجالات أخرى,قرية,نابلس,,5,لا,لا,لا,5,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
10:03:53 م 2024/08/13,21,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الطب وعلوم الصحة,2,لا,لا,لا,5,4,5,4,4,3,3,3,3,2,3,4,4,4,1,2,3,3,4,4,5
10:17:15 م 2024/08/13,25,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,رام الله,كلية العلوم,5,لا,لا,لا,3,4,5,5,3,5,4,5,3,5,4,5,5,5,3,2,2,5,5,5,5
11:07:03 م 2024/08/13,19,ذكر,بكالوريوس,لا أعمل,مدينة,جنين,كلية الهندسة وتكنولوجيا المعلومات,5,لا,لا,لا,4,4,5,3,2,4,2,4,3,3,2,4,3,3,4,2,4,4,4,4,5
11:13:02 م 2024/08/13,22,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,نعم,5,5,5,5,3,4,5,3,1,1,1,4,4,4,3,3,3,5,4,4,5
11:35:19 م 2024/08/13,25,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,5,2,4,2,2,5,5,3,3,1,2,3,3,3,5,3,3,5,3,3,3
11:53:00 م 2024/08/13,20,ذكر,بكالوريوس,لا أعمل,مدينة,رام الله,كلية الهندسة وتكنولوجيا المعلومات,4,لا,نعم,لا,5,2,2,2,1,4,3,4,4,3,4,3,4,3,2,3,4,3,3,4,5
2:43:15 ص 2024/08/14,21,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,2,لا,لا,لا,3,1,4,5,1,4,2,3,3,1,1,1,1,1,1,1,3,1,1,1,1
6:40:27 ص 2024/08/14,22,أنثى,بكالوريوس,لا أعمل,مدينة,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,4,لا,لا,لا,4,1,4,4,5,4,1,4,5,4,2,5,5,4,2,2,4,4,5,2,1
10:43:21 ص 2024/08/14,29,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية العلوم,1,لا,نعم,نعم,4,4,5,4,4,4,4,2,4,2,4,4,4,4,4,2,2,4,4,4,4
11:16:57 ص 2024/08/14,21,ذكر,بكالوريوس,لا أعمل,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,3,لا,نعم,لا,5,3,3,3,4,2,2,3,4,1,2,2,3,3,2,3,4,4,4,4,4
11:28:26 ص 2024/08/14,23,ذكر,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,نعم,نعم,نعم,5,4,4,2,4,1,1,5,1,4,2,5,5,5,5,5,5,5,4,5,5
1:03:33 م 2024/08/14,21,أنثى,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,4,لا,نعم,لا,5,5,5,4,5,4,4,3,3,3,5,5,5,5,3,3,2,3,5,5,5
4:29:26 م 2024/08/14,22,ذكر,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,4,لا,لا,لا,5,2,4,3,2,1,1,4,4,3,2,4,3,3,4,5,4,4,4,4,5
8:40:48 م 2024/08/14,21,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,لا,نعم,نعم,3,4,3,4,5,4,4,5,4,2,3,5,5,5,3,3,3,3,4,4,5
8:05:06 م 2024/08/17,18,ذكر,بكالوريوس,لا أعمل,مدينة,رام الله,كلية الهندسة وتكنولوجيا المعلومات,3,لا,لا,لا,5,2,3,4,4,4,2,1,4,2,2,4,3,4,2,2,2,2,3,2,2
8:48:14 م 2024/08/17,23,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,نعم,نعم,لا,5,5,5,5,3,3,1,3,4,2,3,5,5,5,3,1,3,2,5,5,5
